ID_REF,GSM1110879,GSM1110880,GSM1110881,GSM1110882
215556_at,21.3999,21.7356,21.7554,21.5663
215557_at,22.9995,23.1152,23.1031,23.0711
215558_at,21.4593,21.1878,21.3225,21.2793
215559_at,20.5626,20.6992,20.9196,20.79
215560_x_at,26.0033,25.6165,26.1873,25.5936
215561_s_at,21.7053,21.2475,21.9587,21.7317
215562_at,20.3324,20.2377,20.038,20.1565
215563_s_at,20.5058,20.2202,19.9437,20.5417
215564_at,19.8677,20.5085,19.7046,19.9366
215565_at,20.189,19.784,20.4916,19.8144
215566_x_at,25.2977,25.549,25.3924,25.5456
215567_at,22.8152,22.6536,22.5471,22.8552
215568_x_at,25.025,25.2861,25.0964,25.2235
215569_at,21.0552,20.6504,21.0877,20.8193
215570_s_at,20.97,21.0507,20.709,20.8378
215571_at,20.8641,20.7612,20.8083,21.0143
215572_at,20.1056,20.2451,20.27,20.4764
215573_at,20.9161,21.392,20.4974,21.5962
215574_at,20.9852,21.3354,20.7743,21.3079
215575_at,21.3362,21.4251,20.7781,21.4145
215576_at,21.4266,21.4484,22.0736,21.7467
215577_at,23.9504,23.0662,23.5632,23.2669
215578_at,23.7807,23.2354,23.6886,23.2529
215579_at,21.6493,22.005,20.7698,21.1311
215580_at,20.4065,20.5273,20.1984,20.5237
215581_s_at,21.9914,21.9279,21.993,21.7021
215582_x_at,23.5101,23.7302,23.6991,23.8297
215583_at,22.8542,22.8243,22.8581,23.028
215584_at,21.9183,21.5414,21.8223,21.8186
215585_at,22.5414,21.9933,22.3498,22.038
215586_at,23.6332,22.9864,23.5636,23.1717
215587_x_at,25.6274,24.9924,25.8043,24.9356
215588_x_at,25.9494,25.2156,25.8702,25.22
215589_at,20.5521,20.3596,20.679,20.8243
215590_x_at,21.4442,21.238,21.5278,21.5979
215591_at,21.6184,21.0196,21.7378,20.2809
215592_at,20.8902,20.752,20.8304,20.7015
215593_at,20.781,19.7845,20.194,19.8175
215594_at,21.4125,21.304,21.3049,21.3308
215595_x_at,27.2712,26.6318,27.1505,26.5645
215596_s_at,26.4594,26.6509,26.0879,26.5773
215597_x_at,25.765,25.3119,26.2785,25.2501
215598_at,23.339,23.1376,23.3612,23.113
215599_at,25.1746,23.5245,25.6119,23.7726
215600_x_at,27.7745,27.2949,27.6885,27.3728
215601_at,20.3659,20.5989,20.536,20.4622
215602_at,20.4068,20.9083,20.5997,20.7597
215603_x_at,21.3758,21.6398,21.8766,21.9521
215604_x_at,27.3544,26.7745,27.3198,26.8231
215605_at,22.8901,22.7578,22.7926,22.7878
215606_s_at,22.4479,22.8495,23.0917,23.1749
215607_x_at,22.8601,22.2198,22.5859,22.2481
215608_at,24.1181,24.0856,24.2685,24.0044
215609_at,23.1783,22.8694,23.3482,22.7704
215610_at,21.3882,21.5479,21.6922,21.6598
215611_at,21.9339,21.0632,21.9062,21.399
215612_at,21.8868,21.7395,21.9807,21.6881
215613_at,21.434,21.6527,21.4735,21.6919
215614_at,22.0571,22.5304,22.4865,22.5728
215615_x_at,26.6262,25.9877,26.6731,25.9517
215616_s_at,22.267,22.4348,22.2377,22.1384
215617_at,23.9658,23.1311,24.6546,23.5767
215618_at,20.8927,21.1956,21.012,21.1369
215619_at,20.74,20.315,20.8348,20.45
215620_at,21.6919,21.6331,21.8851,21.667
215621_s_at,22.4369,22.7656,22.6952,22.7819
215622_x_at,22.0568,21.953,21.6982,22.2689
215623_x_at,24.9112,25.5689,25.4195,25.2782
215624_at,20.9711,20.7997,21.1565,20.4193
215625_at,20.7212,20.8503,20.8457,21.1076
215626_at,21.8679,22.0528,22.0095,21.872
215627_at,20.4426,20.0096,20.3487,20.3369
215628_x_at,26.1077,25.8656,26.2462,25.8878
215629_s_at,24.3477,24.9192,23.7269,24.8237
215630_at,20.4652,19.9276,20.298,20.3747
215631_s_at,25.784,25.5878,25.5826,25.6171
215632_at,20.4274,19.7866,19.7046,19.814
215633_x_at,21.7597,22.2248,22.4032,22.2103
215634_at,19.9344,20.3396,20.26,20.2333
215635_at,21.8852,21.6877,22.1025,21.5794
215636_at,24.1418,23.4339,23.9128,23.1768
215637_at,21.7567,21.6991,21.2266,21.575
215638_at,21.173,21.1908,20.6992,20.817
215639_at,21.7194,21.801,21.784,21.3523
215640_at,22.1118,21.7888,22.5456,22.165
215641_at,21.9395,21.6654,21.6494,21.3187
215642_at,20.4509,20.8173,20.793,20.6052
215643_at,23.2333,21.3408,21.6057,21.2633
215644_at,21.1829,21.6347,21.4305,21.7243
215645_at,21.4978,21.9461,21.7059,21.7698
215646_s_at,20.2583,20.4414,20.2821,20.3897
215647_at,19.8683,19.844,19.8019,19.9673
215648_at,23.2045,21.6408,23.0571,21.7792
215649_s_at,22.7853,22.4889,23.289,22.7103
215650_at,23.909,23.0836,23.9556,23.3358
215651_at,21.9612,21.6808,21.8446,21.5615
215652_at,21.4176,21.4052,21.2134,21.401
215653_at,20.6525,20.6987,20.3364,20.5094
215654_at,21.5743,21.2681,21.7161,21.3516
215655_at,20.0219,20.3007,19.9497,19.9201
215656_at,20.6357,20.3921,20.7204,20.4268
215657_at,20.8908,21.1736,21.2224,20.8712
215658_at,20.914,20.577,20.7504,20.8296
215659_at,21.1066,19.9396,21.217,20.6309
215660_s_at,21.6087,21.7122,21.6898,21.3388
215661_at,20.1835,20.6393,19.8487,20.6844
215662_at,22.6804,22.5703,22.8703,22.4054
215663_at,19.8679,20.5895,19.706,20.0672
215664_s_at,20.5451,20.6503,20.2296,20.5418
215665_at,20.1701,20.1732,19.7048,19.8141
215666_at,20.4867,20.3391,20.4332,20.2122
215667_x_at,25.566,25.4281,25.2217,25.2653
215668_s_at,21.6336,20.8645,21.3821,20.4735
215669_at,20.6117,20.4425,20.9525,20.7991
215670_s_at,22.4252,22.4887,22.3613,21.877
215671_at,20.2999,20.1581,20.6815,19.9589
215672_s_at,22.104,22.2956,22.2834,21.9398
215673_at,21.1042,21.6166,21.2583,21.66
215674_at,23.1608,23.0428,23.3724,22.9651
215675_at,22.7852,22.7752,22.9555,22.2179
215676_at,21.2317,21.1579,21.1591,21.1785
215677_s_at,20.2544,20.5326,20.7391,19.8145
215678_at,20.2721,20.3742,20.5004,20.4562
215679_at,21.8859,21.7377,22.0639,21.6631
215680_at,21.2479,20.913,21.0517,20.8495
215681_at,20.4595,20.7842,20.4707,20.7134
215682_at,21.3174,21.1214,20.9847,20.9061
215683_at,21.933,22.3372,22.5549,22.2462
215684_s_at,23.7773,23.8419,23.6516,23.8849
215685_s_at,20.66,20.6165,20.765,20.6854
215686_x_at,20.5866,20.9543,20.7123,21.1013
215687_x_at,21.5159,21.4153,21.4737,21.2785
215688_at,20.6867,20.5154,19.9595,21.2504
215689_s_at,19.8685,20.8966,20.0781,20.9437
215690_x_at,26.3913,26.5187,26.3655,26.6532
215691_x_at,26.9514,27.5022,27.0254,27.4447
215692_s_at,20.9963,21.0473,21.2295,21.0069
215693_x_at,26.6355,26.751,26.6513,26.7864
215694_at,22.5921,22.7553,22.3543,22.935
215695_s_at,20.6053,20.6103,20.8112,20.7984
215696_s_at,25.7784,25.9659,26.1562,26.1679
215697_at,20.6468,20.5814,20.5671,21.1152
215698_at,22.5035,22.6027,22.4578,22.8564
215699_x_at,22.6402,22.5398,22.6867,22.5274
215700_x_at,20.6537,20.9033,20.3503,20.3995
